"{""ObjectName"":""ApplicationComponent"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,type,appId,parent,seqNo,category,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode,visibility,belongTo
string,string,string,string,string,numeric,string,string,date,string,date,date,date,bool,string,string,bool,numeric,numeric,string
003f000001523c6bGoXg,Equipment,Folder,000f0000015234yx8KY4,NULL,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 00:59:34,10gd00000150QfGpNugy,2023-08-01 03:31:45,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523eHL3caO,WorkerOrder,Folder,000f0000015234yx8KY4,NULL,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:00:03,10gd00000150QfGpNugy,2023-07-19 01:00:03,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523eq6v3UO,User,Folder,000f0000015234yx8KY4,NULL,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:00:11,10gd00000150QfGpNugy,2023-07-19 01:00:11,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523gGOS6gS,Object,Folder,000f0000015234yx8KY4,003f000001523c6bGoXg,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:00:30,10gd00000150QfGpNugy,2023-07-19 01:00:30,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523h6jk0o4,Script,Folder,000f0000015234yx8KY4,003f000001523c6bGoXg,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:00:42,10gd00000150QfGpNugy,2023-07-19 01:00:42,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523hfxzKiW,Flow,Folder,000f0000015234yx8KY4,003f000001523c6bGoXg,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:00:49,10gd00000150QfGpNugy,2023-07-19 01:00:49,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523iAYgzrc,Page,Folder,000f0000015234yx8KY4,003f000001523c6bGoXg,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:00:56,10gd00000150QfGpNugy,2023-07-19 01:00:56,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523imyV8Iy,Object,Folder,000f0000015234yx8KY4,003f000001523eHL3caO,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:01:05,10gd00000150QfGpNugy,2023-07-19 01:01:05,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523jQ0uiR6,Script,Folder,000f0000015234yx8KY4,003f000001523eHL3caO,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:01:13,10gd00000150QfGpNugy,2023-07-19 01:01:13,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523k1DV9PM,Bpm,Folder,000f0000015234yx8KY4,003f000001523eHL3caO,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:01:21,10gd00000150QfGpNugy,2023-07-19 01:01:21,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523kRDmkDo,Page,Folder,000f0000015234yx8KY4,003f000001523eHL3caO,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:01:27,10gd00000150QfGpNugy,2023-07-19 01:01:27,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523kzpzohc,Script,Folder,000f0000015234yx8KY4,003f000001523eq6v3UO,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:01:34,10gd00000150QfGpNugy,2023-07-19 01:01:34,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523lapF6Yq,Flow,Folder,000f0000015234yx8KY4,003f000001523eq6v3UO,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:01:43,10gd00000150QfGpNugy,2023-07-19 01:01:43,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001523lz9Ludc,Page,Folder,000f0000015234yx8KY4,003f000001523eq6v3UO,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 01:01:48,10gd00000150QfGpNugy,2023-07-19 01:01:48,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001528SI9J3c8,NPNM__Equipment__CST,CustomObject,000f0000015234yx8KY4,003f000001523gGOS6gS,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 02:07:19,10gd00000150QfGpNugy,2023-07-19 02:07:19,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000152DetxmPNw,NPNM__editEquipment,Script,000f0000015234yx8KY4,003f000001523h6jk0o4,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 03:20:08,10gd00000150QfGpNugy,2023-07-19 03:20:08,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000152UPeg8qAa,NPNM__queryEquipmentDetail,Script,000f0000015234yx8KY4,003f000001523h6jk0o4,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 07:14:35,10gd00000150QfGpNugy,2023-07-19 07:14:35,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000152XgGHUgkK,7a09bc47-1e7e-478b-8396-9272d033657a,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 08:00:19,10gd00000150QfGpNugy,2023-07-19 08:00:19,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000152Y67fYqXI,90094c6f-adf8-4c1b-9e62-45d6f79ce26a,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-19 08:06:09,10gd00000150QfGpNugy,2023-07-19 08:06:09,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000153jMt0W0n2,NPNM__queryEquipments,Script,000f0000015234yx8KY4,003f000001523h6jk0o4,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 01:11:28,10gd00000150QfGpNugy,2023-07-20 01:11:28,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000153noDwxQlE,NPNM__deleteEquipment,Script,000f0000015234yx8KY4,003f000001523h6jk0o4,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 02:13:37,10gd00000150QfGpNugy,2023-07-20 02:13:37,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000153o4DhiGTA,NPNM__equipmentSelectListQuery,Script,000f0000015234yx8KY4,003f000001523h6jk0o4,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 02:17:14,10gd00000150QfGpNugy,2023-07-20 02:17:14,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000153p8PLkvmy,90e9dce6-0a4a-4052-833e-16c0fde924b1,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 02:32:10,10gd00000150QfGpNugy,2023-07-20 02:32:10,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000153pMh14kNc,34816e45-fd4a-4dfc-ab68-784b4cbc90f9,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 02:35:23,10gd00000150QfGpNugy,2023-07-20 02:35:23,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000153pWuDKl6W,NPNM__equipmentManage,View,000f0000015234yx8KY4,003f000001523iAYgzrc,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 02:37:42,10gd00000150QfGpNugy,2023-07-20 02:37:42,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001547OUUWEHA,NPNM__WorkOrder__CST,CustomObject,000f0000015234yx8KY4,003f000001523imyV8Iy,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 06:47:41,10gd00000150QfGpNugy,2023-07-20 06:47:41,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001548VkdOMnQ,NPNM__createWorkOrder,Script,000f0000015234yx8KY4,003f000001523jQ0uiR6,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 07:03:19,10gd00000150QfGpNugy,2023-07-20 07:03:19,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001548yHcPmFc,b11f1151-28bf-4e2a-899c-9a77e3fec04f,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 07:09:45,10gd00000150QfGpNugy,2023-07-20 07:09:45,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f000001549Bk011lY,NPNM__createWorkOrder,View,000f0000015234yx8KY4,003f000001523kRDmkDo,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 07:12:47,10gd00000150QfGpNugy,2023-07-20 07:12:47,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000154G642Q92G,NPNM__queryWorkOrder,Script,000f0000015234yx8KY4,003f000001523jQ0uiR6,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 08:49:28,10gd00000150QfGpNugy,2023-07-20 08:49:28,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000154GtD0fvHc,e5f3807a-dd34-430a-ab60-aab874cb8f52,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 09:00:33,10gd00000150QfGpNugy,2023-07-20 09:00:33,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000154Gxdsubj6,NPNM__workOrderList,View,000f0000015234yx8KY4,003f000001523kRDmkDo,NULL,NULL,10gd00000150QfGpNugy,2023-07-20 09:01:33,10gd00000150QfGpNugy,2023-07-20 09:01:33,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000155uwTvNolU,NPNM__queryWorker,Script,000f0000015234yx8KY4,003f000001523jQ0uiR6,NULL,NULL,10gd00000150QfGpNugy,2023-07-21 08:48:39,10gd00000150QfGpNugy,2023-07-21 08:48:39,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000155vSMuPBgm,NPNM__dispatchWorkOrder,Script,000f0000015234yx8KY4,003f000001523jQ0uiR6,NULL,NULL,10gd00000150QfGpNugy,2023-07-21 08:55:51,10gd00000150QfGpNugy,2023-07-21 08:55:51,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000155x39A1KCG,92c8e4bc-b7e1-4de6-8ab1-0104df0475a5,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-21 09:18:08,10gd00000150QfGpNugy,2023-07-21 09:18:08,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000155x5h4xDnc,53427d99-fc52-408e-a50c-a0a2ba6954ee,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-21 09:18:43,10gd00000150QfGpNugy,2023-07-21 09:18:43,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000155x94vd7om,NPNM__workOrderDispatch,View,000f0000015234yx8KY4,003f000001523kRDmkDo,NULL,NULL,10gd00000150QfGpNugy,2023-07-21 09:19:29,10gd00000150QfGpNugy,2023-07-21 09:19:29,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000155xvHd0PZI,NPNM__dispatchWorkOrder,View,000f0000015234yx8KY4,003f000001523kRDmkDo,NULL,NULL,10gd00000150QfGpNugy,2023-07-21 09:30:21,10gd00000150QfGpNugy,2023-07-21 09:30:21,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000159df2FTsq8,NPNM__queryEquipments,Flow,000f0000015234yx8KY4,003f000001523hfxzKiW,NULL,NULL,10gd00000150QfGpNugy,2023-07-23 14:37:14,10gd00000150QfGpNugy,2023-07-23 14:37:14,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f00000159gCKsfK0O,2b02c609-b164-4394-ad96-c879bcf6f4c6,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-23 15:12:45,10gd00000150QfGpNugy,2023-07-23 15:12:45,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015Ab7CDfLYe,NPNM__modifyOrderStatus,Script,000f0000015234yx8KY4,003f000001523jQ0uiR6,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 04:29:13,10gd00000150QfGpNugy,2023-07-24 04:29:13,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AbfXT40Rc,NPNM__judgeNextStatus,Script,000f0000015234yx8KY4,003f000001523jQ0uiR6,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 04:36:58,10gd00000150QfGpNugy,2023-07-24 04:36:58,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AbtWrF7mi,2a7f5d65-d88e-4828-9d63-a82ca60bf832,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 04:40:08,10gd00000150QfGpNugy,2023-07-24 04:40:08,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AbxzGHpfk,87285b30-7e38-4ea2-a234-684a39f05fb6,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 04:41:08,10gd00000150QfGpNugy,2023-07-24 04:41:08,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015Ac31lnFJY,NPNM__workOrderProcess,View,000f0000015234yx8KY4,003f000001523kRDmkDo,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 04:42:16,10gd00000150QfGpNugy,2023-07-24 04:42:16,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AmYfhvpC4,NPNM__workOrderListM,View,000f0000015234yx8KY4,003f000001523kRDmkDo,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 07:09:21,10gd00000150QfGpNugy,2023-07-24 07:09:21,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AqWdIMKH2,CS,ServicePermission,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 08:04:52,10gd00000150QfGpNugy,2023-07-24 08:04:52,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AqWdZ6ewq,DS,ServicePermission,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 08:04:52,10gd00000150QfGpNugy,2023-07-24 08:04:52,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AqWdpHnMW,MS,ServicePermission,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 08:04:52,10gd00000150QfGpNugy,2023-07-24 08:04:52,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AqhepIL1E,Login,ServicePermission,000f0000015234yx8KY4,,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 08:07:21,10gd00000150QfGpNugy,2023-07-24 08:07:21,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AwaLriuFk,NPNM__deleteWorkOrder,Script,000f0000015234yx8KY4,003f000001523jQ0uiR6,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 09:29:40,10gd00000150QfGpNugy,2023-07-24 09:29:40,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015AwzOjl9kW,e6f9cd12-9f1f-41ec-8118-eacbbfc53adf,URLMap,000f0000015234yx8KY4,000f0000015234yx8KY4,NULL,NULL,10gd00000150QfGpNugy,2023-07-24 09:35:19,10gd00000150QfGpNugy,2023-07-24 09:35:19,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015C0AG3CDAG,NPNM__manageWorkOrder,View,000f0000015234yx8KY4,003f000001523kRDmkDo,NULL,NULL,10gd00000150QfGpNugy,2023-07-25 00:47:21,10gd00000150QfGpNugy,2023-07-25 00:47:21,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
003f0000015C2HtoeMMK,NPNM__WorkOrderBpm,BusinessProcess,000f0000015234yx8KY4,003f000001523k1DV9PM,NULL,NULL,10gd00000150QfGpNugy,2023-07-25 01:17:04,10gd00000150QfGpNugy,2023-07-25 01:17:04,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
