"{""ObjectName"":""URLMap"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,url,method,type,description,label,version,operationName,apiType,apiName,customResponse,extOperation,requestContentType,deprecated,category,resultAsMap,allowAnonymousAccess,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode,visibility,belongTo
string,string,string,string,string,string,string,string,string,string,string,bool,string,string,bool,string,bool,bool,string,date,string,date,date,date,bool,string,string,bool,numeric,numeric,string
003x00000152XgEpVqVs,NPNM__editEquipment,/service/NPNM__equipment_fix_management/1.0.1/editEquipment,POST,script,NULL,editEquipment,1.0.1,editEquipment,REST,7a09bc47-1e7e-478b-8396-9272d033657a,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-19 08:00:19,10gd00000150QfGpNugy,2023-07-25 06:51:55,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
003x00000152Y66OvxVQ,NPNM__queryEquipmentDetail,/service/NPNM__equipment_fix_management/1.0.1/queryEquipmentDetail,GET,script,NULL,queryEquipmentDetail,1.0.1,queryEquipmentDetail,REST,90094c6f-adf8-4c1b-9e62-45d6f79ce26a,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-19 08:06:09,10gd00000150QfGpNugy,2023-07-23 15:10:36,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
003x00000153p8NuuU4m,NPNM__deleteEquipment,/service/NPNM__equipment_fix_management/1.0.1/deleteEquipment,DELETE,script,NULL,deleteEquipment,1.0.1,deleteEquipment,REST,90e9dce6-0a4a-4052-833e-16c0fde924b1,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-20 02:32:10,10gd00000150QfGpNugy,2023-07-23 15:11:01,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
003x00000153pMffuHGi,NPNM__equipmentSelectListQuery,/service/NPNM__equipment_fix_management/1.0.1/equipmentSelectListQuery,GET,script,NULL,equipmentSelectListQuery,1.0.1,equipmentSelectListQuery,REST,34816e45-fd4a-4dfc-ab68-784b4cbc90f9,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-20 02:35:23,10gd00000150QfGpNugy,2023-07-23 15:11:54,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
003x000001548yG4TMHo,NPNM__createWorkOrder,/service/NPNM__equipment_fix_management/1.0.1/createWorkOrder,POST,script,NULL,createWorkOrder,1.0.1,createWorkOrder,REST,b11f1151-28bf-4e2a-899c-9a77e3fec04f,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-20 07:09:45,10gd00000150QfGpNugy,2023-07-24 02:31:51,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
003x00000154GtBewFua,NPNM__queryWorkOrder,/service/NPNM__equipment_fix_management/1.0.1/queryWorkOrder,POST,script,NULL,queryWorkOrder,1.0.1,queryWorkOrder,REST,e5f3807a-dd34-430a-ab60-aab874cb8f52,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-20 09:00:33,10gd00000150QfGpNugy,2023-07-24 02:32:25,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
003x00000155x37eLhGy,NPNM__queryWorker,/service/NPNM__equipment_fix_management/1.0.1/queryWorker,GET,script,NULL,queryWorker,1.0.1,queryWorker,REST,92c8e4bc-b7e1-4de6-8ab1-0104df0475a5,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-21 09:18:08,10gd00000150QfGpNugy,2023-07-24 02:32:39,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
003x00000155x5fUAoXA,NPNM__dispatchWorkOrder,/service/NPNM__equipment_fix_management/1.0.1/dispatchWorkOrder,POST,script,NULL,dispatchWorkOrder,1.0.1,dispatchWorkOrder,REST,53427d99-fc52-408e-a50c-a0a2ba6954ee,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-21 09:18:42,10gd00000150QfGpNugy,2023-07-24 02:33:37,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
003x00000159gCIwazz6,NPNM__queryEquipments,/service/NPNM__equipment_fix_management/1.0.1/queryEquipments,POST,flow,NULL,queryEquipments,1.0.1,queryEquipments,REST,2b02c609-b164-4394-ad96-c879bcf6f4c6,false,NULL,application/json,false,NULL,false,false,10gd00000150QfGpNugy,2023-07-23 15:12:44,10gd00000150QfGpNugy,2023-07-23 15:20:11,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,000f0000015234yx8KY4
